Datetime,Similarity,Tweet,Unnamed: 0,date,device,favorites,id,isDeleted,isFlagged,isRetweet,retweets,text,datasetName
2020-11-19 20:26:24,0.5964092016220093,Nolte: Top Pollster Finds 47% Say ‘Likely‘ Democrats Stole Election https://t.co/d8YFhFzA5w via @BreitbartNews Rigged Election!,149,2020-11-19 20:26:24,Twitter for iPhone,115529,1329521429575049200,f,t,f,25660,Nolte: Top Pollster Finds 47% Say ‘Likely‘ Democrats Stole Election https://t.co/d8YFhFzA5w via @BreitbartNews Rigged Election!,full_tweets.csv
2020-11-27 14:58:02,0.5281617045402527,"No, the 2020 Election was a total scam, we won by a lot (and will hopefully turn over the fraudulent result), but we must get out and help David and Kelly, two GREAT people. Otherwise we are playing right into the hands of some very sick people. I will be in Georgia on Saturday! https://t.co/1ziqFq9S6O",325,2020-11-27 14:58:02,Twitter for iPhone,139741,1332337895584264200,f,t,f,33998,"No, the 2020 Election was a total scam, we won by a lot (and will hopefully turn over the fraudulent result), but we must get out and help David and Kelly, two GREAT people. Otherwise we are playing right into the hands of some very sick people. I will be in Georgia on Saturday! https://t.co/1ziqFq9S6O",full_tweets.csv
2020-11-18 00:07:44,0.5212174654006958,"The recent statement by Chris Krebs on the security of the 2020 Election was highly inaccurate, in that there were massive improprieties and fraud - including dead people voting, Poll Watchers not allowed into polling locations, “glitches” in the voting machines which changed...",333,2020-11-18 00:07:44,Twitter for iPhone,229328,1328852352787484700,f,t,f,51276,"The recent statement by Chris Krebs on the security of the 2020 Election was highly inaccurate, in that there were massive improprieties and fraud - including dead people voting, Poll Watchers not allowed into polling locations, “glitches” in the voting machines which changed...",full_tweets.csv
2020-11-21 20:34:36,0.5306293964385986,Watch: Hundreds of Activists Gather for ‘Stop the Steal‘ Rally in Georgia https://t.co/vUG1bqG9yg via  BreitbartNews  Big Rallies all over the Country. The proof pouring in is undeniable. Many more votes than needed. This was a LANDSLIDE!,428,2020-11-21 20:34:36,Twitter for iPhone,150945,1330248268656357400,f,t,f,35275,Watch: Hundreds of Activists Gather for ‘Stop the Steal‘ Rally in Georgia https://t.co/vUG1bqG9yg via  BreitbartNews  Big Rallies all over the Country. The proof pouring in is undeniable. Many more votes than needed. This was a LANDSLIDE!,full_tweets.csv
2020-11-12 04:17:21,0.5905272364616394,It attempted to alter our election and got caught? https://t.co/J8mcH4SpxG,548,2020-11-12 04:17:21,Twitter for iPhone,248438,1326740844427305000,f,t,f,57492,It attempted to alter our election and got caught? https://t.co/J8mcH4SpxG,full_tweets.csv
2020-11-24 12:33:04,0.6260491609573364,"Poll: 79 Percent of Trump Voters Believe ‘Election Was Stolen‘ https://t.co/PmMBmt05AI via @BreitbartNews They are 100% correct, but we are fighting hard. Our big lawsuit, which spells out in great detail all of the ballot fraud and more, will soon be filled. RIGGED ELECTION!",750,2020-11-24 12:33:04,Twitter for iPhone,184222,1331214247955738600,f,t,f,44923,"Poll: 79 Percent of Trump Voters Believe ‘Election Was Stolen‘ https://t.co/PmMBmt05AI via @BreitbartNews They are 100% correct, but we are fighting hard. Our big lawsuit, which spells out in great detail all of the ballot fraud and more, will soon be filled. RIGGED ELECTION!",full_tweets.csv
2020-11-13 15:59:29,0.5211079120635986,"For years the Dems have been preaching how unsafe and rigged our elections have been. Now they are saying what a wonderful job the Trump Administration did in making 2020 the most secure election ever. Actually this is true, except for what the Democrats did. Rigged Election!",787,2020-11-13 15:59:29,Twitter for iPhone,352073,1327279929319432200,f,t,f,68366,"For years the Dems have been preaching how unsafe and rigged our elections have been. Now they are saying what a wonderful job the Trump Administration did in making 2020 the most secure election ever. Actually this is true, except for what the Democrats did. Rigged Election!",full_tweets.csv
2020-11-13 23:33:21,0.5011533498764038,RT @jmclghln: BREAKING EXCLUSIVE: Analysis of Election Night Data from All States Shows MILLIONS OF VOTES Either Switched from President Tr…,840,2020-11-13 23:33:21,Twitter for iPhone,0,1327394148098461700,f,t,t,34687,RT @jmclghln: BREAKING EXCLUSIVE: Analysis of Election Night Data from All States Shows MILLIONS OF VOTES Either Switched from President Tr…,full_tweets.csv
2020-11-25 04:06:29,0.6224048137664795,"RT @PJStrikeForce: Opinion: The Thieves Who Stole Our Election Got Sloppy

https://t.co/tFgNgCX1Ka",897,2020-11-25 04:06:29,Twitter for iPhone,0,1331449150307782700,f,f,t,11361,"RT @PJStrikeForce: Opinion: The Thieves Who Stole Our Election Got Sloppy

https://t.co/tFgNgCX1Ka",full_tweets.csv
2020-11-25 05:12:35,0.6264423131942749,RT @realDonaldTrump: Poll: 79 Percent of Trump Voters Believe ‘Election Was Stolen‘ https://t.co/PmMBmt05AI via @BreitbartNews They are 100…,974,2020-11-25 05:12:35,Twitter for iPhone,0,1331465785399767000,f,t,t,44742,RT @realDonaldTrump: Poll: 79 Percent of Trump Voters Believe ‘Election Was Stolen‘ https://t.co/PmMBmt05AI via @BreitbartNews They are 100…,full_tweets.csv
2020-11-14 05:29:30,0.5184712409973145,"RT @ScottAdamsSays: The most corrupt institutions and individuals in America have declared that the election was free of fraud, and that's…",996,2020-11-14 05:29:30,Twitter for iPhone,0,1327483778156155000,f,f,t,19473,"RT @ScottAdamsSays: The most corrupt institutions and individuals in America have declared that the election was free of fraud, and that's…",full_tweets.csv
2020-11-25 17:45:04,0.53242027759552,RIGGED ELECTION!,1004,2020-11-25 17:45:04,Twitter for iPhone,479950,1331655154492448800,f,t,f,78435,RIGGED ELECTION!,full_tweets.csv
2020-11-14 20:07:56,0.559340238571167,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA",1085,2020-11-14 20:07:56,Twitter for iPhone,278755,1327704841964183600,f,t,f,66391,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA",full_tweets.csv
2020-11-15 12:56:26,0.5125750303268433,"All of the mechanical “glitches” that took place on Election Night were really THEM getting caught trying to steal votes. They succeeded plenty, however, without getting caught. Mail-in elections are a sick joke!",1231,2020-11-15 12:56:26,Twitter for iPhone,269285,1327958640309973000,f,t,f,53371,"All of the mechanical “glitches” that took place on Election Night were really THEM getting caught trying to steal votes. They succeeded plenty, however, without getting caught. Mail-in elections are a sick joke!",full_tweets.csv
2020-11-15 21:51:30,0.594907820224762,We won’t let a RIGGED ELECTION steal our Country! https://t.co/r0H4ZcDkHv,1307,2020-11-15 21:51:30,Twitter for iPhone,270740,1328093294782509000,f,t,f,62410,We won’t let a RIGGED ELECTION steal our Country! https://t.co/r0H4ZcDkHv,full_tweets.csv
2020-11-16 13:15:50,0.5373668670654297,Most fraudulent Election in history! https://t.co/X2pRkTqWIS,1466,2020-11-16 13:15:50,Twitter for iPhone,144169,1328325907401093000,f,t,f,32099,Most fraudulent Election in history! https://t.co/X2pRkTqWIS,full_tweets.csv
2020-11-04 21:56:11,0.5091946125030518,.....there was a large number of secretly dumped ballots as has been widely reported!,2414,2020-11-04 21:56:11,Twitter for iPhone,0,1324108206801563600,f,t,f,0,.....there was a large number of secretly dumped ballots as has been widely reported!,full_tweets.csv
2020-11-08 14:17:33,0.6099234819412231,"“We believe these people are thieves. The big city machines are corrupt. This was a stolen election. Best pollster in Britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that Biden outran Obama in some of these states.",2576,2020-11-08 14:17:33,Twitter for iPhone,516040,1325442336957018000,f,t,f,101484,"“We believe these people are thieves. The big city machines are corrupt. This was a stolen election. Best pollster in Britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that Biden outran Obama in some of these states.",full_tweets.csv
